tags,detected,temp,wind,rain
897,7,14.7,1.7,0
711,10,12.4,0.9,0
919,6,14.7,1.2,0
129,1,19.8,1,0
94,0,14.6,1.6,0
896,7,16.6,1.4,0
576,0,13.2,5.2,3.8
437,2,12.6,3.6,0.4
784,3,14.7,1.4,0
1096,3,14.7,1.7,0
168,0,18.9,1.9,0
1331,0,15.3,5.3,5
240,5,12.6,3.6,0.4
791,18,13.8,1.1,0
172,1,13.9,2.3,0.2
144,0,15.3,1.4,0
807,5,16.6,1.7,1.2
1056,0,12.2,1.4,0
384,1,12.6,3,3
168,0,10.4,2.5,8.8
24,0,13.2,1,2.6
768,5,13.2,1.2,1.2
346,1,14.7,1.2,1
1253,6,10.2,1,0
888,0,11.7,1.3,0
552,0,9.2,2.9,12.6
120,0,15.1,2.1,15.6
1080,0,12.5,3.1,2.8
750,10,16.9,1,0
1177,1,13.8,3.3,2.6
672,0,10.9,4.2,34
744,0,11.7,1.3,0
302,5,20.6,3.9,0.2
999,2,12.4,0.9,0
879,0,12.7,2.6,0
72,1,17.4,1.1,0
257,11,19.9,1.4,0
389,1,11.5,2.3,0
1152,0,8.2,2.9,5.2
24,0,10,2.5,9.8
179,2,17.9,3.4,0
697,3,12.8,2.7,0
254,0,14.6,1.6,0
420,9,17.7,3.4,0
903,0,13.4,2,0.4
928,1,10.3,2.1,0.2
504,2,14.9,2.1,0
771,1,16.6,1.4,0
193,1,13.2,2.1,0.8
720,0,10,0.8,0
1032,4,13.7,0.9,0.6
696,0,10.4,1.1,0.2
408,20,11.7,2,0.2
156,1,12.8,2.4,0.2
672,0,6.4,2.7,13
216,0,10.6,2.2,7.6
633,6,14.7,1.2,0
1140,1,9.4,3.8,25.6
1031,8,14.2,1.6,0
461,6,13.5,2.7,0.2
1056,1,13.5,1.1,13.4
1087,15,14.7,1.4,0
600,0,6.4,2.7,13
120,0,22.6,0.9,0
518,1,11.6,2.1,0
168,0,14.3,2.4,10.8
773,2,14.2,4.8,6
520,7,13.4,2.6,0
696,0,9.2,2.9,12.6
407,1,11.7,2,0.2
960,4,11.1,0.8,0
88,1,16.8,2.7,0.6
410,6,15.3,1.4,0
1248,1,13.7,0.9,0.6
304,2,10.4,2.5,8.8
912,5,12.3,2,5.6
168,0,11.7,2.6,0.4
888,0,9.3,3.5,21.8
240,0,11.7,2.6,0.4
183,2,14.2,2.2,0.2
472,4,16.5,2.2,0
504,0,10.9,4.2,34
168,0,18.7,2,0
1213,0,11.2,4.2,2
984,0,6.4,2.7,13
660,1,12,3.2,0
60,2,19.1,1.6,0
830,6,9.5,2.2,1.2
144,0,18.7,2,0
144,0,13.7,2.9,0
624,0,12.8,3,1.2
573,0,17.7,4,3
168,2,13.5,2.7,0.2
216,0,14.9,5.7,0.2
238,0,13.9,2.3,0.2
1200,2,12.5,3.1,2.8
682,3,13.3,2.7,0
195,5,14.5,2.8,0
275,2,14.5,2.8,0
120,0,13,1.9,0.6
